x,y,z,type,volume,cycle entry,custom:GFP,custom:sample
-69.52808869196247,-219.23542882150548,0.0,microglia,,,,
-56.08209608295934,-219.23542882150548,0.0,astrocyte,,,,
-42.63610347395621,-219.23542882150548,0.0,microglia,,,,
-29.190110864953084,-219.23542882150548,0.0,astrocyte,,,,
-15.744118255949957,-219.23542882150548,0.0,astrocyte,,,,
-2.298125646946829,-219.23542882150548,0.0,cancer,,,,
11.147866962056298,-219.23542882150548,0.0,microglia,,,,
24.593859571059426,-219.23542882150548,0.0,microglia,,,,
38.03985218006255,-219.23542882150548,0.0,cancer,,,,
51.48584478906571,-219.23542882150548,0.0,microglia,,,,
64.93183739806881,-219.23542882150548,0.0,microglia,,,,
-89.69707760546716,-207.59085764301096,0.0,microglia,,,,
-76.25108499646403,-207.59085764301096,0.0,astrocyte,,,,
-62.8050923874609,-207.59085764301096,0.0,microglia,,,,
-49.359099778457775,-207.59085764301096,0.0,astrocyte,,,,
-35.91310716945465,-207.59085764301096,0.0,microglia,,,,
-22.46711456045152,-207.59085764301096,0.0,microglia,,,,
-9.021121951448393,-207.59085764301096,0.0,microglia,,,,
4.4248706575547345,-207.59085764301096,0.0,cancer,,,,
17.870863266557862,-207.59085764301096,0.0,astrocyte,,,,
31.31685587556099,-207.59085764301096,0.0,astrocyte,,,,
44.76284848456412,-207.59085764301096,0.0,astrocyte,,,,
58.20884109356727,-207.59085764301096,0.0,cancer,,,,
71.65483370257037,-207.59085764301096,0.0,cancer,,,,
85.10082631157347,-207.59085764301096,0.0,cancer,,,,
98.54681892057663,-207.59085764301096,0.0,astrocyte,,,,
-109.86606651897185,-195.94628646451645,0.0,astrocyte,,,,
-96.42007390996872,-195.94628646451645,0.0,cancer,,,,
-82.9740813009656,-195.94628646451645,0.0,microglia,,,,
-69.52808869196247,-195.94628646451645,0.0,microglia,,,,
-56.08209608295934,-195.94628646451645,0.0,cancer,,,,
-42.63610347395621,-195.94628646451645,0.0,microglia,,,,
-29.190110864953084,-195.94628646451645,0.0,astrocyte,,,,
-15.744118255949957,-195.94628646451645,0.0,astrocyte,,,,
-2.298125646946829,-195.94628646451645,0.0,microglia,,,,
11.147866962056298,-195.94628646451645,0.0,microglia,,,,
24.593859571059426,-195.94628646451645,0.0,astrocyte,,,,
38.03985218006255,-195.94628646451645,0.0,cancer,,,,
51.48584478906571,-195.94628646451645,0.0,astrocyte,,,,
64.93183739806881,-195.94628646451645,0.0,cancer,,,,
78.3778300070719,-195.94628646451645,0.0,cancer,,,,
91.82382261607506,-195.94628646451645,0.0,microglia,,,,
105.26981522507822,-195.94628646451645,0.0,astrocyte,,,,
118.71580783408132,-195.94628646451645,0.0,cancer,,,,
-130.03505543247655,-184.30171528602193,0.0,microglia,,,,
-116.58906282347341,-184.30171528602193,0.0,cancer,,,,
-103.14307021447028,-184.30171528602193,0.0,microglia,,,,
-89.69707760546716,-184.30171528602193,0.0,astrocyte,,,,
-76.25108499646403,-184.30171528602193,0.0,astrocyte,,,,
-62.8050923874609,-184.30171528602193,0.0,microglia,,,,
-49.359099778457775,-184.30171528602193,0.0,astrocyte,,,,
-35.91310716945465,-184.30171528602193,0.0,microglia,,,,
-22.46711456045152,-184.30171528602193,0.0,astrocyte,,,,
-9.021121951448393,-184.30171528602193,0.0,astrocyte,,,,
4.4248706575547345,-184.30171528602193,0.0,cancer,,,,
17.870863266557862,-184.30171528602193,0.0,astrocyte,,,,
31.31685587556099,-184.30171528602193,0.0,microglia,,,,
44.76284848456412,-184.30171528602193,0.0,microglia,,,,
58.20884109356727,-184.30171528602193,0.0,microglia,,,,
71.65483370257037,-184.30171528602193,0.0,microglia,,,,
85.10082631157347,-184.30171528602193,0.0,microglia,,,,
